,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
15,-0.2263,0.091,0.909,0.0,CBS,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in East/Central time zones ONLY. New start times:… https://t.co/zmEn7CVlUi",2018-09-30 23:51:26+00:00,16
14,0.296,0.0,0.864,0.136,CBS,Join @happytogether's @wayansjr and @TheNeighborhood's @iamgreenfield for a Facebook Live TODAY at 5:45p ET/2:45 PT… https://t.co/klrx7cA41H,2018-10-01 16:33:11+00:00,15
13,0.0,0.0,1.0,0.0,CBS,Head over to the CBS Facebook page now for the #FacebookLive with @happytogether’s @wayansjr and @TheNeighborhood’s… https://t.co/37QOrVA1sh,2018-10-01 21:56:03+00:00,14
12,0.0,0.0,1.0,0.0,CBS,"RT @TheNeighborhood: It's almost time! Our live Q&amp;A with the casts of #TheNeighborhood &amp; #HappyTogether is starting at 8pm ET/ 5pm PT. 

Se…",2018-10-02 00:01:07+00:00,13
11,0.765,0.0,0.708,0.292,CBS,The stars of @TheNeighborhood and @happytogether celebrated their shows' premieres on CBS tonight with a good old f… https://t.co/fu9SJzv7hZ,2018-10-02 01:10:54+00:00,12
10,0.3182,0.0,0.881,0.119,CBS,"RT @startrekcbs: Discover the next adventure of #StarTrekDiscovery January 2019, and catch #Starfleet at @NY_Comic_Con THIS Saturday. https…",2018-10-02 02:42:23+00:00,11
9,0.0,0.0,1.0,0.0,CBS,"⚡️ “The Neighborhood Premieres on CBS”

https://t.co/R72l342BFE",2018-10-02 16:49:34+00:00,10
8,0.1622,0.133,0.746,0.121,CBS,"@miamicah We don't know for sure about that, but we are sure that you should be some sort of TV detective. 🙂 https://t.co/uW5aSn7jlO",2018-10-02 17:52:53+00:00,9
7,0.0,0.0,1.0,0.0,CBS,"⚡️ “Happy Together Premieres on CBS”

https://t.co/W7IvELcMcw",2018-10-02 18:36:26+00:00,8
6,0.8858,0.0,0.646,0.354,CBS,RT @CBSAllAccess: It's a great day to be a fan of #TheTwilightZone! We're celebrating the 59th anniversary of the classic series AND the of…,2018-10-02 21:25:29+00:00,7
5,0.6956,0.0,0.69,0.31,CBS,".@wayansjr debuted his perfect impression of his father on @colbertlateshow but everybody, be cool, and don't tell… https://t.co/MWa9UNOORj",2018-10-03 17:05:20+00:00,6
4,0.4939,0.0,0.849,0.151,CBS,".@CrimMinds_CBS returns tonight for its 300th episode. In honor of the milestone season premiere, the cast has a me… https://t.co/o9aKkBKKtw",2018-10-03 19:35:31+00:00,5
3,0.7906,0.0,0.682,0.318,CBS,.@Ranker is ranking the best CBS shows of all time. Did your favorites make the list? https://t.co/D3ZrfZK0Q9,2018-10-03 23:39:03+00:00,4
2,0.0,0.0,1.0,0.0,CBS,@suferah_khan https://t.co/hkLN6VK6WI,2018-10-03 23:45:21+00:00,3
1,-0.3875,0.226,0.774,0.0,CBS,@shygirlsue @Ranker And we couldn't be prouder of you.😊 https://t.co/Rt9bRkv32J,2018-10-04 00:34:37+00:00,2
0,0.0,0.0,1.0,0.0,CBS,"The Big Bang Theory.
Young Sheldon, Mom, Murphy Brown.
S.W.A.T. Watch them tonight.

#NationalPoetryDay",2018-10-04 17:17:46+00:00,1
